instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
ZW,SRW Wheat,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,-127034.0,-0.3214764727020584,1.0,,24138.0,0.06108442698869819,1.0,,,,1.0,1.0,"ZW shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,57391.0,184425.0,75489.0,51351.0,395158.0,88847.0,-93996.0,"{""net"": -127034.0, ""net_pct_oi"": -0.3214764727020584, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": 24138.0, ""net_pct_oi"": 0.06108442698869819, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.321."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is 0.061."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-06-06,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,0,-1,-122280.0,-0.30177615553762205,1.0,0.7071067811865475,18344.0,0.04527135915261808,0.5,-0.7071067811865476,4754.0,-5794.0,1.0,0.5,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-5.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,59209.0,181489.0,74648.0,56304.0,405201.0,85364.0,-90684.0,"{""net"": -122280.0, ""net_pct_oi"": -0.30177615553762205, ""percentile"": 1.0, ""zscore"": 0.7071067811865475, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": 18344.0, ""net_pct_oi"": 0.04527135915261808, ""percentile"": 0.5, ""zscore"": -0.7071067811865476, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 4754.0, ""producer_merchant_net_chg_1w"": -5794.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.302."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is 0.045."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 4754."", ""Producer/Merchant net change 1w = -5794."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-06-13,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,-116547.0,-0.30460247765406934,1.0,1.0296234640885507,12784.0,0.03341174010767864,0.3333333333333333,-0.9930598764236738,5733.0,-5560.0,1.0,0.3333333333333333,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,59936.0,176483.0,68677.0,55893.0,382620.0,80576.0,-86827.0,"{""net"": -116547.0, ""net_pct_oi"": -0.30460247765406934, ""percentile"": 1.0, ""zscore"": 1.0296234640885507, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": 12784.0, ""net_pct_oi"": 0.03341174010767864, ""percentile"": 0.3333333333333333, ""zscore"": -0.9930598764236738, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 5733.0, ""producer_merchant_net_chg_1w"": -5560.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.305."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is 0.033."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 5733."", ""Producer/Merchant net change 1w = -5560."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-06-20,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,-90439.0,-0.25557486612126096,1.0,1.4473772681996542,-3043.0,-0.00859932460118972,0.25,-1.3770425981366938,26108.0,-15827.0,1.0,0.25,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,58381.0,148820.0,53305.0,56348.0,353865.0,63862.0,-66364.0,"{""net"": -90439.0, ""net_pct_oi"": -0.25557486612126096, ""percentile"": 1.0, ""zscore"": 1.4473772681996542, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -3043.0, ""net_pct_oi"": -0.00859932460118972, ""percentile"": 0.25, ""zscore"": -1.3770425981366938, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 26108.0, ""producer_merchant_net_chg_1w"": -15827.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.25, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.256."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.009."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 26108."", ""Producer/Merchant net change 1w = -15827."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-06-27,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,-54929.0,-0.18333561408368906,1.0,1.5775272057265015,-14769.0,-0.04929424683504167,0.2,-1.387584436360434,35510.0,-11726.0,1.0,0.2,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,58161.0,113090.0,43726.0,58495.0,299609.0,51292.0,-47177.0,"{""net"": -54929.0, ""net_pct_oi"": -0.18333561408368906, ""percentile"": 1.0, ""zscore"": 1.5775272057265015, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -14769.0, ""net_pct_oi"": -0.04929424683504167, ""percentile"": 0.2, ""zscore"": -1.387584436360434, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 35510.0, ""producer_merchant_net_chg_1w"": -11726.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.183."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.049."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 35510."", ""Producer/Merchant net change 1w = -11726."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-07-03,-4.5,-4.5,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-1,-1,-1,-56399.0,-0.18930095021363863,0.8333333333333334,1.167955550500091,-17570.0,-0.05897299057170572,0.16666666666666666,-1.1850735928954683,-1470.0,-2801.0,1.0,0.16666666666666666,ZW shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,58873.0,115272.0,40719.0,58289.0,297933.0,51053.0,-45464.0,"{""net"": -56399.0, ""net_pct_oi"": -0.18930095021363863, ""percentile"": 0.8333333333333334, ""zscore"": 1.167955550500091, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -17570.0, ""net_pct_oi"": -0.05897299057170572, ""percentile"": 0.16666666666666666, ""zscore"": -1.1850735928954683, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -1470.0, ""producer_merchant_net_chg_1w"": -2801.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.16666666666666666, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is -0.189."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.059."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -1470."", ""Producer/Merchant net change 1w = -2801."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-07-11,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,-54409.0,-0.1831052748480545,1.0,1.0283372767648997,-23073.0,-0.07764869794646402,0.14285714285714285,-1.1949303336121857,1990.0,-5503.0,1.0,0.14285714285714285,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,56379.0,110788.0,40835.0,63908.0,297146.0,45506.0,-40411.0,"{""net"": -54409.0, ""net_pct_oi"": -0.1831052748480545, ""percentile"": 1.0, ""zscore"": 1.0283372767648997, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -23073.0, ""net_pct_oi"": -0.07764869794646402, ""percentile"": 0.14285714285714285, ""zscore"": -1.1949303336121857, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 1990.0, ""producer_merchant_net_chg_1w"": -5503.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.14285714285714285, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.183."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.078."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 1990."", ""Producer/Merchant net change 1w = -5503."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-07-18,-4.5,-4.5,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-1,-1,-1,-57009.0,-0.18789612632536493,0.625,0.8446026216996546,-25248.0,-0.08321495548883183,0.125,-1.1071577228509974,-2600.0,-2175.0,1.0,0.125,ZW shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,57247.0,114256.0,39949.0,65197.0,303407.0,43035.0,-38703.0,"{""net"": -57009.0, ""net_pct_oi"": -0.18789612632536493, ""percentile"": 0.625, ""zscore"": 0.8446026216996546, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -25248.0, ""net_pct_oi"": -0.08321495548883183, ""percentile"": 0.125, ""zscore"": -1.1071577228509974, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -2600.0, ""producer_merchant_net_chg_1w"": -2175.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.125, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is -0.188."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.083."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -2600."", ""Producer/Merchant net change 1w = -2175."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-07-25,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-2,-1,-42109.0,-0.1352512855761726,1.0,1.1181504740568082,-40966.0,-0.13158004618759617,0.1111111111111111,-1.5000880061363089,14900.0,-15718.0,1.0,0.1111111111111111,"ZW shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-8.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,57876.0,99985.0,40960.0,81926.0,311339.0,27401.0,-20555.0,"{""net"": -42109.0, ""net_pct_oi"": -0.1352512855761726, ""percentile"": 1.0, ""zscore"": 1.1181504740568082, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -40966.0, ""net_pct_oi"": -0.13158004618759617, ""percentile"": 0.1111111111111111, ""zscore"": -1.5000880061363089, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": 14900.0, ""producer_merchant_net_chg_1w"": -15718.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.1111111111111111, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.135."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.132."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 14900."", ""Producer/Merchant net change 1w = -15718."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-08-01,-0.5,-0.5,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,bearish,NOT_APPLICABLE,0,-1,1,-57020.0,-0.17566830668938258,0.5,0.6325330700985372,-40352.0,-0.12431721346071493,0.2,-1.2602318321552262,-14911.0,614.0,0.9,0.2,ZW shows neutral COT pressure with final score -0.50 and base score -0.50. Managed Money positioning is near its historical middle range.,STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-0.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,57652.0,114672.0,42775.0,83127.0,324589.0,31880.0,-26077.0,"{""net"": -57020.0, ""net_pct_oi"": -0.17566830668938258, ""percentile"": 0.5, ""zscore"": 0.6325330700985372, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -40352.0, ""net_pct_oi"": -0.12431721346071493, ""percentile"": 0.2, ""zscore"": -1.2602318321552262, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -14911.0, ""producer_merchant_net_chg_1w"": 614.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 0.9, ""direction"": ""bearish"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.176."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.124."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -14911."", ""Producer/Merchant net change 1w = 614."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZW,SRW Wheat,2023-08-08,-4.0,-4.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,0,-2,-1,-62145.0,-0.18066352309132455,0.45454545454545453,0.4516158818726489,-43315.0,-0.12592228663127722,0.09090909090909091,-1.2164434748409159,-5125.0,-2963.0,0.9090909090909091,0.09090909090909091,ZW shows bearish COT pressure with final score -4.00 and base score -4.00. Managed Money positioning is near its historical middle range.,STRICT,WHEAT-SRW - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,57412.0,119557.0,47656.0,90971.0,343982.0,25578.0,-22794.0,"{""net"": -62145.0, ""net_pct_oi"": -0.18066352309132455, ""percentile"": 0.45454545454545453, ""zscore"": 0.4516158818726489, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -43315.0, ""net_pct_oi"": -0.12592228663127722, ""percentile"": 0.09090909090909091, ""zscore"": -1.2164434748409159, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": -5125.0, ""producer_merchant_net_chg_1w"": -2963.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.09090909090909091, ""noncommercial_net_percentile"": 0.9090909090909091, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.181."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.126."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -5125."", ""Producer/Merchant net change 1w = -2963."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],WHEAT-SRW - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
