instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
GC,Gold,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,86703.0,0.19288121642214387,1.0,,-31372.0,-0.06979077450140707,1.0,,,,1.0,1.0,"GC shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,122904.0,36201.0,12396.0,43768.0,449515.0,-190005.0,169316.0,"{""net"": 86703.0, ""net_pct_oi"": 0.19288121642214387, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -31372.0, ""net_pct_oi"": -0.06979077450140707, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.193."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.070."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-06-06,0.0,0.0,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,bearish,NOT_APPLICABLE,-2,2,1,93428.0,0.21413657085360793,1.0,0.7071067811865476,-29778.0,-0.06825104686901932,1.0,0.7071067811865476,6725.0,1594.0,1.0,0.5,"GC shows neutral COT pressure with final score 0.00 and base score 0.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,0.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,120985.0,27557.0,13860.0,43638.0,436301.0,-198187.0,175641.0,"{""net"": 93428.0, ""net_pct_oi"": 0.21413657085360793, ""percentile"": 1.0, ""zscore"": 0.7071067811865476, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -29778.0, ""net_pct_oi"": -0.06825104686901932, ""percentile"": 1.0, ""zscore"": 0.7071067811865476, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": 6725.0, ""producer_merchant_net_chg_1w"": 1594.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.214."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.068."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 6725."", ""Producer/Merchant net change 1w = 1594."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-06-13,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,1,2,1,74643.0,0.1724262990358006,0.3333333333333333,-1.0802423830951442,-27159.0,-0.06273764258555133,1.0,1.070588026772218,-18785.0,2619.0,0.3333333333333333,1.0,GC shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is moderately net short versus history.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,6.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,110512.0,35869.0,14225.0,41384.0,432898.0,-186062.0,160209.0,"{""net"": 74643.0, ""net_pct_oi"": 0.1724262990358006, ""percentile"": 0.3333333333333333, ""zscore"": -1.0802423830951442, ""score"": 1, ""interpretation"": ""Managed Money is moderately net short versus history.""}","{""net"": -27159.0, ""net_pct_oi"": -0.06273764258555133, ""percentile"": 1.0, ""zscore"": 1.070588026772218, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -18785.0, ""producer_merchant_net_chg_1w"": 2619.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.3333333333333333, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net short versus history."", ""Managed Money net/open-interest ratio is 0.172."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.063."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -18785."", ""Producer/Merchant net change 1w = 2619."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-06-20,4.0,4.0,bullish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,0,2,1,76039.0,0.1735903588053064,0.5,-0.7444685810012002,-26879.0,-0.06136239632725089,1.0,0.8892996834097318,1396.0,280.0,0.5,0.75,GC shows bullish COT pressure with final score 4.00 and base score 4.00. Managed Money positioning is near its historical middle range.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,4.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,110314.0,34275.0,13663.0,40542.0,438037.0,-186537.0,162975.0,"{""net"": 76039.0, ""net_pct_oi"": 0.1735903588053064, ""percentile"": 0.5, ""zscore"": -0.7444685810012002, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -26879.0, ""net_pct_oi"": -0.06136239632725089, ""percentile"": 1.0, ""zscore"": 0.8892996834097318, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": 1396.0, ""producer_merchant_net_chg_1w"": 280.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 0.75, ""noncommercial_net_percentile"": 0.5, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.174."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.061."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 1396."", ""Producer/Merchant net change 1w = 280."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-06-27,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,1,2,1,69675.0,0.161336633777998,0.2,-1.074742800416755,-26233.0,-0.06074408200786827,1.0,0.9358985237415619,-6364.0,646.0,0.2,1.0,GC shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is moderately net short versus history.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,6.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,108209.0,38534.0,11393.0,37626.0,431861.0,-175335.0,151910.0,"{""net"": 69675.0, ""net_pct_oi"": 0.161336633777998, ""percentile"": 0.2, ""zscore"": -1.074742800416755, ""score"": 1, ""interpretation"": ""Managed Money is moderately net short versus history.""}","{""net"": -26233.0, ""net_pct_oi"": -0.06074408200786827, ""percentile"": 1.0, ""zscore"": 0.9358985237415619, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -6364.0, ""producer_merchant_net_chg_1w"": 646.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.2, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net short versus history."", ""Managed Money net/open-interest ratio is 0.161."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.061."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -6364."", ""Producer/Merchant net change 1w = 646."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-07-03,-1.0,-1.0,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,0,-1,83148.0,0.18557211820659147,0.6666666666666666,0.29008722188736424,-27425.0,-0.06120791049472953,0.5,0.3595383580859464,13473.0,-1192.0,0.6666666666666666,0.8333333333333334,GC shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money positioning is near its historical middle range.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,123017.0,39869.0,13966.0,41391.0,448063.0,-184717.0,163097.0,"{""net"": 83148.0, ""net_pct_oi"": 0.18557211820659147, ""percentile"": 0.6666666666666666, ""zscore"": 0.29008722188736424, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -27425.0, ""net_pct_oi"": -0.06120791049472953, ""percentile"": 0.5, ""zscore"": 0.3595383580859464, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 13473.0, ""producer_merchant_net_chg_1w"": -1192.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.8333333333333334, ""noncommercial_net_percentile"": 0.6666666666666666, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.186."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.061."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 13473."", ""Producer/Merchant net change 1w = -1192."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-07-11,-1.0,-1.0,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,0,-1,82443.0,0.1706293851025519,0.5714285714285714,0.19609939523370445,-29074.0,-0.06017343792040069,0.42857142857142855,-0.4318539024367171,-705.0,-1649.0,0.7142857142857143,0.42857142857142855,GC shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money positioning is near its historical middle range.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,124394.0,41951.0,13062.0,42136.0,483170.0,-187749.0,165754.0,"{""net"": 82443.0, ""net_pct_oi"": 0.1706293851025519, ""percentile"": 0.5714285714285714, ""zscore"": 0.19609939523370445, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -29074.0, ""net_pct_oi"": -0.06017343792040069, ""percentile"": 0.42857142857142855, ""zscore"": -0.4318539024367171, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -705.0, ""producer_merchant_net_chg_1w"": -1649.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.42857142857142855, ""noncommercial_net_percentile"": 0.7142857142857143, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.171."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.060."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -705."", ""Producer/Merchant net change 1w = -1649."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-07-18,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-2,-1,115318.0,0.2391973516087815,1.0,2.1124865502795975,-39274.0,-0.08146375056004514,0.125,-2.2645812246094468,32875.0,-10200.0,1.0,0.125,"GC shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-8.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,147644.0,32326.0,14281.0,53555.0,482104.0,-213715.0,193348.0,"{""net"": 115318.0, ""net_pct_oi"": 0.2391973516087815, ""percentile"": 1.0, ""zscore"": 2.1124865502795975, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -39274.0, ""net_pct_oi"": -0.08146375056004514, ""percentile"": 0.125, ""zscore"": -2.2645812246094468, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": 32875.0, ""producer_merchant_net_chg_1w"": -10200.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.125, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.239."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.081."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 32875."", ""Producer/Merchant net change 1w = -10200."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-07-25,-5.0,-5.0,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-1,-2,-1,95287.0,0.20010878330701254,0.8888888888888888,0.6529403688345596,-38944.0,-0.08178488626054232,0.2222222222222222,-1.6391837750357516,-20031.0,330.0,0.7777777777777778,0.2222222222222222,GC shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is moderately net long versus history.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-6.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,132603.0,37316.0,16452.0,55396.0,476176.0,-198210.0,173639.0,"{""net"": 95287.0, ""net_pct_oi"": 0.20010878330701254, ""percentile"": 0.8888888888888888, ""zscore"": 0.6529403688345596, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -38944.0, ""net_pct_oi"": -0.08178488626054232, ""percentile"": 0.2222222222222222, ""zscore"": -1.6391837750357516, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": -20031.0, ""producer_merchant_net_chg_1w"": 330.0, ""score"": -1, ""interpretation"": ""Managed Money net fell from a high percentile, suggesting long-liquidation risk.""}","{""commercial_net_percentile"": 0.2222222222222222, ""noncommercial_net_percentile"": 0.7777777777777778, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.200."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.082."", ""Managed Money net fell from a high percentile, suggesting long-liquidation risk."", ""Managed Money net change 1w = -20031."", ""Producer/Merchant net change 1w = 330."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-08-01,1.0,1.0,mildly_bullish,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,0,0,1,80009.0,0.1820939817880983,0.4,-0.4310711669551272,-30212.0,-0.06876005671589479,0.4,0.0889706518252138,-15278.0,8732.0,0.5,0.6,GC shows mild bullish COT pressure with final score 1.00 and base score 1.00. Managed Money positioning is near its historical middle range.,STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,123802.0,43793.0,16334.0,46546.0,439383.0,-186845.0,164924.0,"{""net"": 80009.0, ""net_pct_oi"": 0.1820939817880983, ""percentile"": 0.4, ""zscore"": -0.4310711669551272, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -30212.0, ""net_pct_oi"": -0.06876005671589479, ""percentile"": 0.4, ""zscore"": 0.0889706518252138, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -15278.0, ""producer_merchant_net_chg_1w"": 8732.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.6, ""noncommercial_net_percentile"": 0.5, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.182."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.069."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -15278."", ""Producer/Merchant net change 1w = 8732."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-08-08,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,2,2,1,58606.0,0.13700705303687358,0.09090909090909091,-1.6521405956800435,-26450.0,-0.06183388309772559,0.9090909090909091,0.8123162453988163,-21403.0,3762.0,0.09090909090909091,1.0,"GC shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is extremely net short, indicating short-covering upside risk.",STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,8.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,114585.0,55979.0,15411.0,41861.0,427759.0,-167554.0,142985.0,"{""net"": 58606.0, ""net_pct_oi"": 0.13700705303687358, ""percentile"": 0.09090909090909091, ""zscore"": -1.6521405956800435, ""score"": 2, ""interpretation"": ""Managed Money is extremely net short, indicating short-covering upside risk.""}","{""net"": -26450.0, ""net_pct_oi"": -0.06183388309772559, ""percentile"": 0.9090909090909091, ""zscore"": 0.8123162453988163, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -21403.0, ""producer_merchant_net_chg_1w"": 3762.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.09090909090909091, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net short, indicating short-covering upside risk."", ""Managed Money net/open-interest ratio is 0.137."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.062."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -21403."", ""Producer/Merchant net change 1w = 3762."", ""Legacy Noncommercial positioning is crowded short."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
GC,Gold,2023-08-15,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,2,2,1,29536.0,0.06811635313679773,0.08333333333333333,-2.341103515016912,-21530.0,-0.04965279939853924,1.0,1.559916722930165,-29070.0,4920.0,0.08333333333333333,1.0,"GC shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is extremely net short, indicating short-covering upside risk.",STRICT,GOLD - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,8.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,113146.0,83610.0,17862.0,39392.0,433611.0,-141930.0,121136.0,"{""net"": 29536.0, ""net_pct_oi"": 0.06811635313679773, ""percentile"": 0.08333333333333333, ""zscore"": -2.341103515016912, ""score"": 2, ""interpretation"": ""Managed Money is extremely net short, indicating short-covering upside risk.""}","{""net"": -21530.0, ""net_pct_oi"": -0.04965279939853924, ""percentile"": 1.0, ""zscore"": 1.559916722930165, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -29070.0, ""producer_merchant_net_chg_1w"": 4920.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.08333333333333333, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net short, indicating short-covering upside risk."", ""Managed Money net/open-interest ratio is 0.068."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.050."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -29070."", ""Producer/Merchant net change 1w = 4920."", ""Legacy Noncommercial positioning is crowded short."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],GOLD - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
