instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
SI,Silver,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,9274.0,0.06940629700865895,1.0,,-26351.0,-0.19720997762294284,1.0,,,,1.0,1.0,"SI shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,39203.0,29929.0,1977.0,28328.0,133619.0,-34536.0,21124.0,"{""net"": 9274.0, ""net_pct_oi"": 0.06940629700865895, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -26351.0, ""net_pct_oi"": -0.19720997762294284, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.069."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.197."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-06-06,0.0,0.0,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,neutral,NOT_APPLICABLE,-2,2,1,9995.0,0.07249530358088357,1.0,0.7071067811865475,-25314.0,-0.18360641469199468,1.0,0.7071067811865475,721.0,1037.0,1.0,1.0,"SI shows neutral COT pressure with final score 0.00 and base score 0.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,0.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,37526.0,27531.0,3166.0,28480.0,137871.0,-34065.0,21475.0,"{""net"": 9995.0, ""net_pct_oi"": 0.07249530358088357, ""percentile"": 1.0, ""zscore"": 0.7071067811865475, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -25314.0, ""net_pct_oi"": -0.18360641469199468, ""percentile"": 1.0, ""zscore"": 0.7071067811865475, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": 721.0, ""producer_merchant_net_chg_1w"": 1037.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.072."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.184."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 721."", ""Producer/Merchant net change 1w = 1037."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-06-13,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,12997.0,0.08447674078503506,1.0,1.1352921976326806,-26957.0,-0.17521270303471495,0.3333333333333333,-0.902268816031752,3002.0,-1643.0,1.0,0.3333333333333333,"SI shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,38968.0,25971.0,3645.0,30602.0,153853.0,-38470.0,23736.0,"{""net"": 12997.0, ""net_pct_oi"": 0.08447674078503506, ""percentile"": 1.0, ""zscore"": 1.1352921976326806, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -26957.0, ""net_pct_oi"": -0.17521270303471495, ""percentile"": 0.3333333333333333, ""zscore"": -0.902268816031752, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 3002.0, ""producer_merchant_net_chg_1w"": -1643.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.084."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.175."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 3002."", ""Producer/Merchant net change 1w = -1643."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-06-20,-4.5,-4.5,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-1,-1,-1,10256.0,0.06719385716064023,0.75,-0.22955560795570376,-27220.0,-0.17833627066230762,0.25,-0.8971991867315392,-2741.0,-263.0,0.25,0.5,SI shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-4.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,37289.0,27033.0,3835.0,31055.0,152633.0,-36210.0,20058.0,"{""net"": 10256.0, ""net_pct_oi"": 0.06719385716064023, ""percentile"": 0.75, ""zscore"": -0.22955560795570376, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -27220.0, ""net_pct_oi"": -0.17833627066230762, ""percentile"": 0.25, ""zscore"": -0.8971991867315392, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -2741.0, ""producer_merchant_net_chg_1w"": -263.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 0.25, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.067."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.178."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -2741."", ""Producer/Merchant net change 1w = -263."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-06-27,-1.0,-1.0,mildly_bearish,low,ACCEPTED_WEAK_SIGNAL_LEGACY_CONFLICT,bearish,bullish,CONFLICT,-1,0,1,10906.0,0.08831412815508823,0.8,0.15540748900530751,-27006.0,-0.21868800155476917,0.4,-0.5648201712861579,650.0,214.0,0.2,1.0,SI shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is moderately net long versus history.,STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-1.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,33247.0,22341.0,2481.0,29487.0,123491.0,-29327.0,19052.0,"{""net"": 10906.0, ""net_pct_oi"": 0.08831412815508823, ""percentile"": 0.8, ""zscore"": 0.15540748900530751, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -27006.0, ""net_pct_oi"": -0.21868800155476917, ""percentile"": 0.4, ""zscore"": -0.5648201712861579, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 650.0, ""producer_merchant_net_chg_1w"": 214.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.2, ""direction"": ""bullish"", ""status"": ""CONFLICT"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.088."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.219."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 650."", ""Producer/Merchant net change 1w = 214."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-07-03,-2.5,-2.5,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,-1,-1,9796.0,0.08561365483608778,0.3333333333333333,-0.5618504653118473,-28398.0,-0.2481887066185403,0.16666666666666666,-1.4978659506682659,-1110.0,-1392.0,0.16666666666666666,0.8333333333333334,SI shows mild bearish COT pressure with final score -2.50 and base score -2.50. Managed Money positioning is near its historical middle range.,STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-2.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,32849.0,23053.0,911.0,29309.0,114421.0,-29569.0,17990.0,"{""net"": 9796.0, ""net_pct_oi"": 0.08561365483608778, ""percentile"": 0.3333333333333333, ""zscore"": -0.5618504653118473, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -28398.0, ""net_pct_oi"": -0.2481887066185403, ""percentile"": 0.16666666666666666, ""zscore"": -1.4978659506682659, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -1110.0, ""producer_merchant_net_chg_1w"": -1392.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.8333333333333334, ""noncommercial_net_percentile"": 0.16666666666666666, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.086."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.248."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -1110."", ""Producer/Merchant net change 1w = -1392."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-07-11,0.0,0.0,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,neutral,NOT_APPLICABLE,2,-2,-1,5498.0,0.045709249929332736,0.14285714285714285,-1.9166951341053653,-29708.0,-0.24698624898156,0.14285714285714285,-1.71344625441471,-4298.0,-1310.0,0.5714285714285714,0.7142857142857143,"SI shows neutral COT pressure with final score 0.00 and base score 0.00. Managed Money is extremely net short, indicating short-covering upside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,0.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,31522.0,26024.0,877.0,30585.0,120282.0,-31649.0,20292.0,"{""net"": 5498.0, ""net_pct_oi"": 0.045709249929332736, ""percentile"": 0.14285714285714285, ""zscore"": -1.9166951341053653, ""score"": 2, ""interpretation"": ""Managed Money is extremely net short, indicating short-covering upside risk.""}","{""net"": -29708.0, ""net_pct_oi"": -0.24698624898156, ""percentile"": 0.14285714285714285, ""zscore"": -1.71344625441471, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": -4298.0, ""producer_merchant_net_chg_1w"": -1310.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.7142857142857143, ""noncommercial_net_percentile"": 0.5714285714285714, ""direction"": ""neutral"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net short, indicating short-covering upside risk."", ""Managed Money net/open-interest ratio is 0.046."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.247."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -4298."", ""Producer/Merchant net change 1w = -1310."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-07-18,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-2,-1,29689.0,0.2021543887841049,1.0,2.3724684208576368,-38137.0,-0.2596773864077406,0.125,-2.3418062207192305,24191.0,-8429.0,1.0,0.125,"SI shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-8.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,53781.0,24092.0,942.0,39079.0,146863.0,-55983.0,43862.0,"{""net"": 29689.0, ""net_pct_oi"": 0.2021543887841049, ""percentile"": 1.0, ""zscore"": 2.3724684208576368, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -38137.0, ""net_pct_oi"": -0.2596773864077406, ""percentile"": 0.125, ""zscore"": -2.3418062207192305, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": 24191.0, ""producer_merchant_net_chg_1w"": -8429.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.125, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.202."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.260."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 24191."", ""Producer/Merchant net change 1w = -8429."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-07-25,-4.5,-4.5,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-1,-1,-1,19601.0,0.13343272202480633,0.8888888888888888,0.8919500952153455,-34137.0,-0.23238573704202917,0.2222222222222222,-1.160100601172394,-10088.0,4000.0,0.8888888888888888,0.2222222222222222,SI shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,-4.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,48131.0,28530.0,1442.0,35579.0,146898.0,-49718.0,36925.0,"{""net"": 19601.0, ""net_pct_oi"": 0.13343272202480633, ""percentile"": 0.8888888888888888, ""zscore"": 0.8919500952153455, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -34137.0, ""net_pct_oi"": -0.23238573704202917, ""percentile"": 0.2222222222222222, ""zscore"": -1.160100601172394, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -10088.0, ""producer_merchant_net_chg_1w"": 4000.0, ""score"": -1, ""interpretation"": ""Managed Money net fell from a high percentile, suggesting long-liquidation risk.""}","{""commercial_net_percentile"": 0.2222222222222222, ""noncommercial_net_percentile"": 0.8888888888888888, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.133."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.232."", ""Managed Money net fell from a high percentile, suggesting long-liquidation risk."", ""Managed Money net change 1w = -10088."", ""Producer/Merchant net change 1w = 4000."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-08-01,1.0,1.0,mildly_bullish,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,0,0,1,12658.0,0.0878186182686037,0.7,-0.05962066058892846,-31676.0,-0.21976161733893906,0.3,-0.5400333664955723,-6943.0,2461.0,0.8,0.3,SI shows mild bullish COT pressure with final score 1.00 and base score 1.00. Managed Money positioning is near its historical middle range.,STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,44578.0,31920.0,1638.0,33314.0,144138.0,-44012.0,30831.0,"{""net"": 12658.0, ""net_pct_oi"": 0.0878186182686037, ""percentile"": 0.7, ""zscore"": -0.05962066058892846, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -31676.0, ""net_pct_oi"": -0.21976161733893906, ""percentile"": 0.3, ""zscore"": -0.5400333664955723, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -6943.0, ""producer_merchant_net_chg_1w"": 2461.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.3, ""noncommercial_net_percentile"": 0.8, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.088."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.220."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -6943."", ""Producer/Merchant net change 1w = 2461."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-08-08,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,2,0,1,-3781.0,-0.027472008486460173,0.09090909090909091,-1.8552125936538653,-30848.0,-0.22413555085700168,0.36363636363636365,-0.3196344808624223,-16439.0,828.0,0.09090909090909091,0.8181818181818182,"SI shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is extremely net short, indicating short-covering upside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,5.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,31985.0,35766.0,1586.0,32434.0,137631.0,-30349.0,13324.0,"{""net"": -3781.0, ""net_pct_oi"": -0.027472008486460173, ""percentile"": 0.09090909090909091, ""zscore"": -1.8552125936538653, ""score"": 2, ""interpretation"": ""Managed Money is extremely net short, indicating short-covering upside risk.""}","{""net"": -30848.0, ""net_pct_oi"": -0.22413555085700168, ""percentile"": 0.36363636363636365, ""zscore"": -0.3196344808624223, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -16439.0, ""producer_merchant_net_chg_1w"": 828.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.8181818181818182, ""noncommercial_net_percentile"": 0.09090909090909091, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net short, indicating short-covering upside risk."", ""Managed Money net/open-interest ratio is -0.027."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.224."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -16439."", ""Producer/Merchant net change 1w = 828."", ""Legacy Noncommercial positioning is crowded short."", ""Legacy Commercial positioning is not extreme.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
SI,Silver,2023-08-15,5.0,5.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,2,0,1,-6670.0,-0.04825814853670007,0.08333333333333333,-1.7631909609132648,-29242.0,-0.21156893246029737,0.5,0.09253976356521011,-2889.0,1606.0,0.08333333333333333,1.0,"SI shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is extremely net short, indicating short-covering upside risk.",STRICT,SILVER - COMMODITY EXCHANGE INC.,CFTC_COT_SCORING_V1_2,METAL,5.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,31710.0,38380.0,3312.0,32554.0,138215.0,-23264.0,7861.0,"{""net"": -6670.0, ""net_pct_oi"": -0.04825814853670007, ""percentile"": 0.08333333333333333, ""zscore"": -1.7631909609132648, ""score"": 2, ""interpretation"": ""Managed Money is extremely net short, indicating short-covering upside risk.""}","{""net"": -29242.0, ""net_pct_oi"": -0.21156893246029737, ""percentile"": 0.5, ""zscore"": 0.09253976356521011, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -2889.0, ""producer_merchant_net_chg_1w"": 1606.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.08333333333333333, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net short, indicating short-covering upside risk."", ""Managed Money net/open-interest ratio is -0.048."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.212."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -2889."", ""Producer/Merchant net change 1w = 1606."", ""Legacy Noncommercial positioning is crowded short."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],SILVER - COMMODITY EXCHANGE INC.,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
